District,Murder,"Hurt 
",AssaultonWomen,"KidnappingandAbduction 
",Rape,UnlawfulAssembly,"Theft 
","Burglary 
",ForgeryCheatingFraud ,OffencesRelatingtoDocumentsPropertyMarks ,"RashDrivingonPublicway 
",CriminalTrespass 
Anantapur,107,2149,422,66,104,0,604,348,843,844,688,240
Chittoor,68,1521,107,29,13,0,556,192,303,304,665,76
Cuddapah,64,1043,203,21,28,12,527,157,258,258,1299,120
East Godavari,64,1510,443,79,118,14,1045,238,382,382,1182,335
Guntakal Railway,2,13,4,0,0,0,299,0,1,1,0,1
Guntur,65,2003,361,73,64,3,705,204,749,751,712,37
Guntur Urban,38,684,231,47,59,0,716,169,754,755,602,127
Krishna,44,1669,370,69,66,1,578,122,408,410,585,227
Kurnool,89,1771,392,104,65,0,492,322,653,656,726,368
Nellore,76,1494,282,42,65,0,473,292,284,284,853,8
Prakasham,65,2175,334,32,35,2,605,265,494,495,1185,344
Rajahmundry,27,522,130,29,59,4,662,159,222,223,357,141
Srikakulam,24,1058,180,11,58,7,169,98,126,126,671,613
Tirupathi Urban,20,338,102,16,26,0,542,183,424,424,333,0
Vijayawada City,44,732,356,51,85,11,1107,216,556,559,955,166
Vijayawada Railway,1,12,1,2,0,0,497,0,3,3,0,0
Visakha Rural,36,666,154,26,59,12,231,104,167,167,465,262
Visakhapatnam,41,845,474,39,169,0,614,190,628,631,3564,145
Vizianagaram,27,860,257,79,78,1,327,126,185,186,590,218
West Godavari,54,1582,305,20,37,12,1082,404,714,715,850,470
Anjaw,0,6,2,0,1,0,7,0,1,1,0,2
Changlang,6,3,2,8,5,0,23,5,5,5,3,0
Crime Branch,0,0,0,0,0,0,0,0,4,4,0,0
Dibang Valley,0,4,1,1,0,0,2,0,0,0,0,0
Kameng East,0,8,0,1,4,0,10,2,9,9,2,0
Kameng West,4,9,5,3,1,0,32,10,15,15,10,0
Kurung Kumey,2,7,2,0,2,0,3,2,5,5,2,0
Lohit,1,3,6,4,3,0,13,11,5,5,9,0
Longding,3,7,0,4,3,0,7,12,0,0,1,2
Lower Dibang Valley,2,10,0,3,6,0,15,7,1,2,4,0
Papum Pare City,9,110,22,37,36,0,455,45,36,36,53,28
Papum Pare Rural,2,13,1,5,0,0,41,10,11,11,0,0
Siang East,1,16,5,6,7,0,32,11,13,13,9,0
Siang Upper,2,8,2,0,1,0,8,8,1,1,0,0
Siang West,2,16,8,3,3,0,7,1,5,5,5,1
Subansiri Lower,0,11,1,1,1,0,6,5,1,1,5,2
Subansiri Upper,1,17,0,2,2,0,15,5,5,5,5,0
Tawang,2,3,2,1,1,0,1,2,2,2,2,0
Tirap,1,1,3,0,0,0,11,6,4,4,1,0
Namsai,5,11,0,1,3,0,12,18,1,1,10,0
Siang,3,5,3,0,1,0,8,1,3,3,3,6
Kamle,0,12,0,1,2,0,3,0,1,1,0,0
Kra Dadi,0,1,1,1,0,0,2,0,0,0,0,0
Lower Siang,3,7,1,2,1,0,20,1,3,3,4,0
Leparada,0,8,3,1,0,0,6,1,2,2,0,3
Shiyomi,0,2,0,0,0,0,0,0,1,1,0,0
Pakkessang,0,2,4,0,0,0,6,1,1,1,1,0
BIEO,0,0,0,0,0,0,0,0,9,9,0,0
Barpeta,48,799,707,745,121,0,752,267,399,405,285,0
Baksa,28,263,61,121,29,10,127,65,89,89,98,36
Bongaigaon,18,555,117,201,53,0,382,142,179,181,139,0
CID,1,0,0,0,1,0,0,0,9,9,0,0
Cachar,52,1694,137,473,51,450,951,293,124,125,347,0
Chirang,13,113,15,128,30,9,123,64,75,77,8,41
Darrang,22,843,249,238,73,0,234,99,213,216,167,0
Dhemaji,23,282,95,139,29,4,192,36,113,114,62,0
Dhubri,36,994,550,372,159,228,900,167,523,529,176,260
Dibrugarh,73,279,65,246,28,0,761,163,393,395,89,120
