District,Murder,"Hurt 
",Assault on Women,"Kidnapping and Abduction 
",Rape,Unlawful Assembly,"Theft 
","Burglary 
","Forgery, Cheating & Fraud ",Offences Relating to Documents & Property Marks ,"Rash Driving on Public way 
",Criminal Trespass 
Anantapur,104,2159,418,58,69,1,494,203,759,759,716,204
Chittoor,41,1504,183,30,38,7,360,154,256,256,678,215
Cuddapah,60,1794,205,27,30,2,579,165,194,204,391,53
East Godavari,62,2135,463,61,111,4,1149,352,175,178,1065,42
Guntakal Railway,2,8,3,1,1,0,237,0,0,0,0,1
Guntur,85,1620,338,76,90,2,832,160,668,669,711,46
Guntur Urban,28,462,198,42,52,0,549,180,510,511,483,99
Krishna,37,1648,341,121,79,0,357,137,449,449,552,406
Kurnool,64,1637,426,34,41,0,347,201,284,284,711,403
Nellore,52,1364,268,19,47,2,430,253,372,372,949,32
Prakasham,74,1715,280,29,31,18,397,196,294,296,1068,341
Rajahmundry,22,446,175,33,56,0,516,211,284,287,364,108
Srikakulam,23,1161,146,15,61,2,107,110,138,141,958,503
Tirupathi Urban,22,273,66,12,12,0,370,155,226,226,267,0
Vijayawada City,24,465,225,14,62,9,874,199,440,441,811,33
Vijayawada Railway,3,7,2,1,1,0,378,0,2,2,2,0
Visakha Rural,31,668,226,17,41,0,160,94,158,158,575,215
Visakhapatnam,31,1078,288,65,124,0,493,181,633,633,1072,161
Vizianagaram,34,889,178,26,73,2,202,93,161,162,495,123
West Godavari,54,1181,457,56,76,11,677,342,585,587,774,424
Anjaw,0,0,0,0,0,0,3,0,1,1,0,3
Changlang,7,4,3,4,8,0,10,4,5,5,0,0
Crime Branch,0,0,0,0,0,0,0,0,6,6,0,0
Dibang Valley,1,6,3,0,0,0,1,3,0,0,1,2
Kameng East,1,12,2,3,2,0,3,1,2,2,3,1
Kameng West,4,9,1,2,5,0,28,8,7,7,15,0
Kurung Kumey,2,4,0,0,2,0,2,5,2,2,0,0
Lohit,5,9,5,4,3,0,11,11,5,5,3,0
Longding,1,10,0,4,2,0,3,8,4,4,4,1
Lower Dibang Valley,4,8,2,1,2,0,12,12,0,0,2,1
Papum Pare City,5,69,13,36,15,0,173,22,40,40,27,15
Papum Pare Rural,0,6,2,7,0,0,47,11,8,8,2,0
Siang East,2,22,12,4,9,0,28,16,12,12,8,0
Siang Upper,1,2,0,0,0,0,8,8,1,1,1,0
Siang West,2,11,6,3,3,0,6,4,9,9,3,5
Subansiri Lower,0,10,1,0,0,0,11,2,2,2,0,0
Subansiri Upper,2,11,5,0,4,0,7,10,1,1,4,0
Tawang,0,3,0,1,0,0,1,0,2,2,0,0
Tirap,1,5,4,3,1,0,6,5,0,0,0,0
Namsai,3,16,7,5,0,0,16,8,4,4,7,0
Siang,0,15,4,0,0,0,7,0,1,1,4,1
Kamle,1,15,0,0,1,0,1,0,0,0,1,1
Kra Dadi,3,0,0,0,0,0,0,0,0,0,0,1
Lower Siang,0,8,2,0,0,0,4,0,4,4,2,5
Leparada,0,2,0,1,2,0,4,0,3,3,3,5
Shiyomi,0,3,1,0,0,0,1,0,1,1,0,0
Pakkessang,0,2,0,0,1,0,2,2,1,1,0,2
BIEO,0,0,0,0,0,0,0,0,9,9,0,0
Barpeta,67,735,627,723,129,0,619,253,383,385,221,0
Baksa,30,235,86,134,35,0,91,31,53,53,92,71
Bongaigaon,13,619,109,198,46,0,334,135,110,110,142,0
CID,0,0,0,0,0,0,0,0,6,6,0,0
Cachar,47,866,56,287,57,13,829,321,325,327,298,124
Chirang,15,137,41,95,20,22,129,53,43,43,86,91
Darrang,33,635,290,219,89,0,157,88,223,225,169,0
Dhemaji,21,325,121,50,24,5,165,56,106,106,53,0
Dhubri,32,1462,712,474,111,209,839,231,162,163,153,260
Dibrugarh,52,286,78,249,22,37,723,169,272,273,78,372
GRP,14,1,4,4,1,0,101,1,13,13,0,0
Goalpara,32,752,79,154,33,0,307,87,66,68,0,0
Golaghat,57,216,44,225,31,17,247,64,143,146,106,0
Guwahati City,52,4406,218,451,39,21,3674,1008,2606,2633,491,0
Hailakandi,22,555,139,106,92,89,188,121,144,144,100,69
Hamren,5,11,6,19,1,0,27,7,13,13,5,0
Jorhat,46,1197,158,329,47,0,697,215,277,278,91,0
Kamrup,46,866,530,393,94,6,852,222,654,657,390,154
Karbi Anglong,18,61,25,91,16,0,175,36,43,43,42,0
Karimganj,43,357,70,117,59,1,282,71,148,150,78,0
Kokrajhar,35,10,74,110,27,0,232,47,125,125,53,0
Lakhimpur,44,752,123,234,50,5,247,111,250,256,114,5
Morigaon,32,570,168,408,222,0,381,220,192,195,99,0
Dima Hasao,12,25,2,21,2,0,31,8,21,21,21,0
Nagaon,65,232,136,390,77,181,710,186,41,45,274,134
Nalbari,13,312,102,99,49,17,192,84,78,78,183,161
RPO,5,0,0,6,1,0,9,1,5,5,0,0
SOU,0,0,0,0,0,0,0,0,0,0,0,0
STF,0,0,0,0,0,0,0,0,0,0,0,0
Sibsagar,27,699,120,317,8,30,411,62,188,189,83,74
Sonitpur,44,204,23,219,41,0,386,170,288,288,0,0
Tinsukia,59,477,104,184,30,21,617,156,212,212,54,65
Udalguri,31,249,34,104,29,0,229,51,43,43,58,0
Sadia,8,75,3,15,7,0,61,13,8,8,6,0
Majuli,8,66,21,29,2,0,18,8,15,15,3,0
Biswanath,26,244,83,102,29,0,124,38,49,51,63,0
Hojai,35,561,216,191,59,68,192,106,149,150,99,225
South Salmara,17,154,23,135,60,13,35,47,42,42,18,0
Charaideo,25,127,17,52,18,0,80,23,32,32,21,7
Araria,53,2725,5,172,38,0,490,46,98,102,47,0
Arwal,21,565,11,38,2,0,123,36,57,57,13,8
Aurangabad,67,1731,7,105,11,0,418,51,181,181,102,0
Bagaha,35,1473,7,98,12,0,156,27,35,35,15,0
Banka,77,2099,23,95,21,0,301,47,118,118,42,0
Begusarai,108,2672,4,134,26,3,603,95,89,92,0,0
Bettiah,74,3548,8,157,12,0,1037,95,203,203,44,0
Bhabhua,46,1138,29,99,13,0,329,89,68,68,67,0
Bhagalpur,78,2315,11,296,42,0,970,125,236,236,38,0
Bhojpur,97,2593,42,200,10,0,1082,158,276,276,64,0
Buxar,45,1468,3,132,17,0,494,85,129,129,51,0
Darbhanga,71,2967,112,233,23,0,646,107,266,266,69,0
Gaya,165,3769,10,318,56,0,1531,166,542,542,165,0
Gopalganj,88,2707,0,191,9,0,585,60,109,109,22,0
Jamalpur Railway,0,7,0,0,0,0,143,0,1,1,0,0
Jamui,85,1417,15,102,17,0,261,42,95,95,33,0
Jehanabad,30,1154,13,66,7,0,244,49,136,136,34,0
Katihar,88,2219,7,180,50,0,387,55,86,86,43,0
Katihar Railway,5,4,0,1,0,0,172,5,1,1,0,0
Khagaria,62,1974,0,111,5,0,303,39,72,72,41,0
Kishanganj,30,929,0,71,27,0,380,20,39,39,32,42
Lakhisarai,28,979,7,80,6,0,146,35,31,31,23,0
Madhepura,91,1811,1,114,11,0,427,51,58,58,20,0
Madhubani,72,3490,2,204,31,0,637,93,69,69,59,182
Motihari,154,5996,0,294,10,0,1636,217,323,329,0,0
Munger,52,1150,7,108,14,0,167,72,75,75,23,1
Muzaffarpur,175,4874,8,532,39,0,2131,204,245,245,130,0
Muzaffarpur Railway,4,16,0,0,0,0,209,1,6,6,2,0
Nalanda,134,3550,29,359,28,0,1221,174,403,403,334,0
Naugachia,37,649,6,86,10,0,213,18,29,29,0,0
Nawadah,62,2659,17,183,5,0,551,64,164,164,74,0
Patna,204,6985,38,992,69,0,5949,760,1688,1688,343,0
Patna Railway,7,22,2,6,2,0,262,0,4,4,0,0
Purnea,74,2327,7,198,40,0,706,75,84,84,46,0
Rohtas,98,2560,15,185,18,0,1259,202,240,240,119,0
Saharsa,32,1513,3,97,10,0,463,31,57,57,84,0
Samastipur,85,2275,32,218,21,0,791,55,115,115,84,0
Saran,117,5984,54,392,20,0,1296,121,369,369,111,0
Sheikhpura,22,591,23,27,1,0,138,12,27,27,17,0
Sheohar,13,714,4,46,2,0,93,4,35,35,11,0
Sitamarhi,82,2912,4,310,35,0,674,140,6,6,0,0
Siwan,96,2975,2,192,8,0,994,117,87,87,0,0
Supaul,60,1989,0,120,6,0,393,42,70,70,22,0
Vaishali,126,3007,16,347,22,0,971,146,331,331,54,0
Economic Offences Unit,0,0,0,0,0,0,0,0,5,5,0,0
Anti Terrorist Squad,0,0,0,0,0,0,0,0,0,0,0,0
Balod,22,39,45,37,14,0,217,115,58,58,219,0
Balodbazar,34,1420,85,106,32,0,236,233,38,39,387,12
Balrampur,38,85,56,60,96,20,77,87,30,30,134,22
Bemetra,17,45,37,51,17,0,127,98,32,32,224,28
Bilaspur,52,2675,117,230,88,0,653,439,141,141,599,1
Bizapur,43,0,5,21,5,0,19,9,6,6,142,0
Dantewara,18,95,4,12,5,0,31,23,17,17,43,0
Dhamtari,18,66,39,46,28,0,148,130,35,35,179,1
Durg,33,2316,133,185,63,0,635,350,156,158,218,8
Gariyaband,26,442,35,15,14,0,47,43,17,17,157,1
GRP Raipur,1,8,2,2,1,0,201,2,1,1,3,0
Jagdalpur,29,523,20,46,35,0,119,90,35,35,0,0
Janjgir,53,1602,102,131,35,0,287,284,42,43,329,2
Jashpur,69,337,30,67,54,0,158,105,40,40,101,0
Kabirdham,18,906,51,69,25,0,90,95,37,37,191,0
Kanker,31,41,30,36,42,0,94,52,31,31,159,13
Kondagaon,21,42,7,30,10,0,28,34,24,24,94,0
Korba,44,1033,87,65,47,0,231,115,49,49,309,0
Koriya,23,1209,57,55,70,0,89,77,37,37,212,0
Mahasamund,25,717,31,47,47,0,108,102,30,33,220,3
Mungali,28,712,39,33,13,0,127,66,23,23,169,0
Narayanpur,11,63,6,8,7,0,8,13,7,7,46,1
Raigarh,58,1190,112,161,161,0,284,145,63,63,359,0
Raipur,76,3022,116,248,103,0,1138,481,257,258,1298,54
Rajnandgaon,44,1588,113,116,41,0,346,200,78,78,558,65
Sarguja,48,653,47,67,96,0,376,140,121,121,149,32
Sukma,32,2,2,15,7,0,11,8,17,17,45,0
Surajpur,43,664,36,24,50,0,89,58,15,15,139,2
Gaurela-Pendra-Marwari,17,245,17,25,4,0,66,58,11,11,62,0
North Goa,20,175,34,29,36,6,227,63,63,64,80,28
South Goa,13,128,28,16,23,12,158,45,39,39,123,15
CID,1,0,5,0,1,1,13,1,21,21,0,0
Ahmedabad City,70,1466,167,181,77,5,2389,454,660,665,1778,110
Ahmedabad Rural,25,215,20,12,6,2,126,56,62,62,464,9
Amreli,17,226,27,25,13,0,67,29,28,29,140,24
Anand,27,238,26,15,14,8,184,73,53,54,506,8
Arvalli,21,113,23,44,6,16,106,42,20,20,184,6
Banaskantha,37,358,44,67,29,18,290,109,43,44,537,10
Bharuch,35,279,23,15,8,3,326,121,92,93,1217,19
Bhavnagar,42,493,29,16,16,6,188,98,80,81,348,21
Botad,10,90,8,3,6,0,45,13,11,12,63,6
Chhotaudepur,21,87,8,13,13,8,128,9,10,10,429,5
CID Crime,0,0,0,0,0,0,0,0,55,55,0,0
Dahod,37,176,9,48,19,9,175,46,28,28,414,5
Dang,5,12,4,0,2,0,12,3,5,5,106,0
Devbhumi Dwarka,9,107,4,7,1,1,46,34,16,16,177,2
Gandhinagar,22,200,15,19,5,0,269,95,114,115,379,5
Gir Somnath,15,171,10,4,13,0,48,34,18,19,137,3
Jamnagar,20,238,9,35,12,2,123,46,19,19,413,16
Junagadh,20,277,48,58,10,6,188,114,76,76,286,18
Kachchh East(G),28,250,11,56,19,2,185,100,85,85,389,5
Kachchh West(B),20,181,21,30,13,11,206,89,84,85,537,20
Kheda,21,200,26,28,6,5,94,37,48,49,463,3
Mahisagar,7,103,9,8,1,4,22,8,12,12,212,4
Mehsana,26,629,13,21,10,7,186,76,35,36,433,7
Morbi,25,176,5,14,8,3,80,28,10,10,1149,10
Narmada,11,259,8,4,3,2,53,13,17,17,156,25
Navsari,17,63,10,14,5,2,66,44,28,28,4430,3
Panchmahal,29,168,22,10,7,2,140,42,34,35,776,8
Patan,19,239,34,19,20,5,172,47,27,28,553,13
Porbandar,10,78,7,9,3,0,34,28,6,6,179,5
Rajkot City,29,221,14,44,23,0,264,69,66,69,291,15
Rajkot Rural,29,241,24,29,17,1,116,65,26,26,596,18
Sabarkantha,19,105,4,10,8,1,187,36,42,42,663,7
Surat City,116,486,50,163,27,9,1358,220,376,376,2062,25
Surat Rural,33,131,13,32,6,5,218,72,59,61,2078,4
Surendranagar,25,275,23,43,10,2,128,45,22,22,235,13
Tapi,11,46,3,7,3,0,29,7,10,10,1165,0
Vadodara City,22,293,41,45,20,11,530,180,183,185,442,5
Vadodara Rural,31,98,20,26,15,3,154,34,76,76,1153,6
Valsad,17,112,6,22,10,4,154,82,39,40,2979,3
W.Rly Ahmedabad,0,9,3,1,0,0,112,2,4,5,0,0
W.Rly Vadodara,4,8,1,1,2,0,288,4,2,2,1,0
Cyber Ahmedabad Range,0,0,1,0,0,0,0,0,2,2,0,0
Cyber Bhavnagar Range,0,0,0,0,0,0,0,0,0,0,0,0
Cyber Border Range,0,0,0,0,0,0,0,0,0,0,0,0
Cyber Gandhinagar Range,0,0,0,0,0,0,0,0,3,3,0,0
Cyber Junagadh Range,0,0,3,0,0,0,1,0,6,6,0,0
Cyber Panchmahal Range,0,0,0,0,0,0,0,0,0,0,0,0
Cyber Rajkot Range,0,0,0,0,0,0,0,0,0,0,0,0
Cyber Surat Range,0,0,0,0,0,0,0,0,1,1,0,0
Cyber Vadodara Range,0,0,0,0,0,0,0,0,2,2,0,0
Ambala,31,200,56,109,49,0,538,330,111,115,212,73
Bhiwani,37,302,164,67,43,0,560,277,360,360,283,83
Faridabad,62,578,116,290,131,0,2426,467,343,344,325,70
Fatehabad,32,199,50,57,29,0,346,255,89,89,109,130
GRP,15,37,2,0,0,0,309,2,4,4,13,0
Gurugram,85,253,219,167,173,0,3837,339,964,965,526,99
Hissar,68,273,158,78,67,0,822,401,153,153,225,202
Jhajjar,51,208,105,104,31,0,545,299,91,91,246,78
Jind,59,327,63,81,43,0,666,422,274,275,160,122
Kaithal,44,197,80,213,21,0,629,289,104,105,168,92
Karnal,70,363,132,165,97,0,1174,425,520,520,330,153
Kurukshetra,33,270,116,139,51,0,865,304,232,233,300,71
Mahendergarh,40,172,109,54,32,0,324,120,98,99,205,55
Nuh,34,110,71,76,63,0,613,102,62,62,356,9
Palwal,57,180,53,78,32,0,813,173,112,113,289,40
Panchkula,11,192,47,57,36,0,305,131,170,170,0,33
Panipat,77,485,108,315,67,0,997,366,323,324,237,65
