State,Murder,Hurt,Assault on Women ,Kidnapping and Abduction,Rape,Unlawful Assembly,Theft,Burglary,"Forgery, Cheating & Fraud",Offences Relating to Documents ,Rash Driving ,Criminal Trespass
Andhra Pradesh,853,22214,4886,737,1095,60,9508,3386,6588,6615,12642,3409
Arunachal Pradesh,45,262,73,78,60,0,395,140,121,121,90,43
Assam,1131,18479,4642,6934,1657,755,14391,4500,7537,7600,3744,1812
Bihar,3150,98502,584,7889,806,3,31982,4031,7358,7371,2478,233
Chattisgarh,972,21740,1461,2008,1210,20,6040,3652,1448,1456,6745,245
Goa,34,303,67,45,60,19,398,109,123,124,203,43
Gujarat,982,9117,846,1198,486,163,9487,2704,2695,2722,28520,466
Haryana,1143,5699,2339,2949,1373,0,20657,6953,5296,5314,5430,2009
Himachal Pradesh,91,3950,538,343,331,39,347,275,444,444,1690,1217
Jharkhand,1592,10249,1358,1564,1321,47,9470,1631,2775,2779,1332,95
Karnataka,1331,15414,4751,2253,504,32,13871,4191,4699,4721,25101,1466
Kerala,306,16238,3890,307,637,2280,2418,1619,8993,9016,69117,1698
Madhya Pradesh,2101,82960,5378,7320,2339,2,23716,8288,2714,2763,34702,2865
Maharashtra,2163,47014,9965,8103,2061,748,55730,12014,10770,10824,18363,3140
Manipur,46,162,61,81,32,1,659,57,136,136,320,16
Meghalaya,79,165,86,91,67,0,711,230,294,298,84,24
Mizoram,28,104,26,3,33,0,676,421,101,101,22,30
Nagaland,25,32,7,24,4,0,386,71,82,84,11,0
Odisha,1470,18257,12605,4179,1211,96,10412,4500,3524,3542,5271,28
Punjab,757,6614,731,1399,502,0,6401,2913,3203,3228,1422,1235
Rajasthan,1719,33711,8661,6234,5310,3942,28695,5828,18122,18171,10756,4430
Sikkim,11,62,18,32,12,0,29,27,29,29,96,7
Tamil Nadu,1661,36569,892,765,389,3007,12492,4275,2719,2757,38173,581
Telangana,802,24747,4907,2056,764,80,9475,3957,12396,12406,11695,6617
Tripura,114,1205,115,127,79,1,353,133,171,173,287,62
Uttar Pradesh,3779,69611,9864,12913,2769,182,33250,6361,12198,12253,19362,6416
Uttarakhand,160,523,474,768,487,3,1458,351,1065,1071,294,40
West Bengal,1948,26822,2488,9309,1128,565,9242,96,7097,7206,6000,670
A&N islands,5,85,15,7,2,0,25,24,21,22,129,2
Chandigarh,22,107,42,118,60,0,614,78,147,148,116,15
D&N Haveli and Daman & Diu,13,27,6,21,4,0,47,24,32,32,39,4
Delhi,472,3922,1840,4062,997,0,177439,2199,4221,4253,3243,182
Jammu & Kashmir,149,3035,1744,868,243,0,2064,1136,554,563,4377,1695
Ladakh,0,12,4,0,2,0,2,6,5,5,111,1
Lakshadweep,0,24,3,1,3,9,9,0,3,3,1,7
Puducherry,39,704,25,19,8,166,323,43,43,45,811,15
