State,Murder,Hurt,Assault on Women ,Kidnapping and Abduction,Rape,Unlawful Assembly,Theft,Burglary,"Forgery, Cheating & Fraud",Offences Relating to Documents ,Rash Driving ,Criminal Trespass
Andhra Pradesh,956,22647,5108,835,1188,79,11831,3789,8154,8174,16282,3898
Arunachal Pradesh,49,300,74,85,83,0,745,164,135,136,129,44
Assam,1192,20307,4499,7580,1733,1292,17351,5010,8588,8663,4272,2103
Bihar,2799,88823,387,10198,786,20,38277,4052,7613,7649,2492,47
Chhattisgarh,1007,24242,1248,2681,1093,28,8080,4615,1513,1524,6571,287
Goa ,26,314,74,52,72,14,565,133,95,96,254,36
Gujarat,1010,7537,660,1621,589,30,10662,2911,3417,3448,27492,400
Haryana ,1112,5545,2882,3554,1716,0,27011,8389,4720,4733,5739,2037
Himachal Pradesh,86,3404,487,430,358,25,475,292,400,404,1750,882
Jammu & Kashmir,136,3555,1851,1013,315,0,2397,1485,590,598,4882,1663
Jharkhand,1573,9474,1335,1767,1425,33,9504,1786,2581,2585,1118,41
Karnataka,1357,15090,5105,2879,555,0,17140,4818,5934,5969,25287,1640
Kerala,337,15579,4059,364,771,1758,3119,1947,5214,5239,85325,1465
Madhya Pradesh,2034,91285,5760,9511,2947,3,30503,9149,3857,3884,38322,2944
 Maharashtra,2330,51264,10568,10502,2496,778,67218,13301,13579,13636,19909,3373
 Manipur,46,163,92,85,26,1,918,52,107,108,279,15
Meghalaya,80,176,92,123,75,0,727,113,331,336,90,36
Mizoram,24,111,31,2,26,0,1081,547,176,178,22,47
Nagaland,27,25,11,48,4,0,428,77,47,47,14,5
Odisha,1394,17408,14853,5625,1456,69,13024,5133,5238,5256,6247,67
Punjab,723,6110,678,1787,464,0,8418,3199,3278,3295,1564,1116
Rajasthan,1786,33891,9079,7717,6337,3444,34873,6821,23348,23402,11930,4840
Sikkim,14,68,17,39,8,0,32,43,68,68,123,7
Tamil Nadu,1686,38207,1077,821,422,5845,14274,5157,3386,3448,40935,798
Telangana,1026,22200,4365,2760,823,110,14017,4831,20065,20081,14235,7886
Tripura,122,1226,94,136,61,1,361,144,191,193,298,40
Uttar Pradesh,3717,72618,9393,14554,2845,33,40944,6363,13925,13971,20789,7038
Uttarakhand,208,1089,655,819,534,0,2195,508,1463,1468,508,100
West Bengal,1884,26894,2485,8339,1123,491,9232,90,8904,8986,5954,904
A&N Islands,16,57,32,7,15,0,20,15,27,27,96,0
Chandigarh,17,106,37,154,74,0,757,93,167,168,128,10
D&N Haveli and Daman & Diu,14,29,7,48,3,0,64,46,31,31,68,5
Delhi,459,5278,2068,5527,1250,0,199981,2637,4831,4867,3770,210
Ladakh,5,33,5,4,2,0,10,11,21,21,187,2
Lakshadweep,1,17,1,0,0,6,7,0,1,1,1,2
Puducherry,19,702,31,40,2,97,408,71,78,82,891,16
